"id","Name","Name on Shirt","Teams","Nationality","Age","Height(cm)","Weight(Kg)","Stronger foot","Favorite side","Reg. Pos.","Positions","Injury","Attack","Defence","Body balance","Stamina","Top speed","Responsiveness","Explosive power","Dribble accuracy","Dribble speed","Short pass accuracy","Short pass speed","Long pass accuracy","Long pass speed","Shot accuracy","Shot power","Free kick accuracy","Swerve","Header Accuracy","Jump","Ball control","Mentality","Keeper skills","Teamwork","Form","Weak foot accuracy","Weak foot frequency","P01 Classic No.10","P02 Anchor Man","P03 Trickster","P04 Darting Run","P05 Mazing Run","P06 Pinpoint Pass","P07 Early Cross","P08 Box to Box","P09 Cut Back Pass","P10 Incisive Run","P11 Long Ranger","P12 Enforcer","P13 Goal Poacher","P14 Dummy Runner","P15 Free Roaming","P16 Extra Attacker","P17 Chasing Back","P18 Talisman","P19 Fox in the Box","P20 Track Back","P21 Offensive Fullback","P22 180 Drag","P23 Flick(Sombrero)","H01 Attack Minded","H02 Defence Master","S01 Weighted Pass","S02 Double Touch","S03 Run Around","S04 PK Taker","S05 1-touch play","S06 Outside Curve","S07 Lunging Tackle","S08 Diving Header","S09 Covering","S10 GK Long Throw","S11 Penalty Saver","S12 1-on-1 Keeper","S13 Long Throw","S14 Speed Merchant","S15 Shoulder Feint Skills","S16 Roulette Skills","S17 Flip Flap Skills","S18 Turning Skills","S19 Scissors Skills","S20 Flicking Skills","S21 Step On Skills","S22 Deft Touch Skills","S23 Super-Sub","S24 Long Range Drive","S25 Flip Flap Skills","S26 Jumping Volley","S27 Scissor Kick","S28 Knuckle Shot","S29 Heel Flick","Unnamed: 93"
"72","ABE","ABE","","Япония","31","177","77","R","R","DMF"," CWP CB RB DMF CMF","1","63","72","75","80","74","78","73","72","70","75","72","75","75","68","76","75","82","82","79","76","70","50","80","7","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",""
"162","ISHIKAWA","ISHIKAWA","","Япония","31","175","70","R","R","RMF"," LMF RMF AMF LWF RWF","0","73","44","71","75","82","70","82","78","83","73","74","76","77","73","79","71","73","66","70","78","74","50","75","5","7","7","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"220","NAKAYAMA","NAKAYAMA","","Япония","25","179","73","R","R","CF"," SS CF","1","87","50","78","82","80","89","84","77","75","73","71","71","72","84","79","73","72","89","88","79","86","50","82","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"250","INAMOTO","INAMOTO","","Япония","25","181","75","R","R","CMF"," DMF CMF LMF RMF AMF SS","1","76","73","83","90","83","82","83","78","81","79","78","80","78","77","85","73","75","72","76","78","80","45","80","6","6","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"277","OKUBO","OKUBO","","Япония","30","170","73","R","R","SS"," LMF RMF AMF SS CF","1","73","50","78","82","78","81","80","77","76","77","74","74","72","73","72","67","65","77","82","79","75","50","72","4","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"329","OKUDERA","OKUDERA","","Япония","25","177","77","L","R","LMF"," LB RB CMF LMF RMF LWF RWF CF","2","80","64","80","85","88","82","85","83","84","80","75","81","75","81","85","72","76","75","83","82","82","50","85","6","6","5","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0",""
"450","EMERSON SHEIK","EMERSON","","Катар","25","171","69","R","R","SS"," LMF RMF LWF RWF SS CF","1","84","43","78","87","89","84","92","86","87","82","81","80","82","84","82","78","82","76","78","85","82","50","82","8","6","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",""
"557","FELLAINI","FELLAINI","","Бельгия","25","194","84","R","R","CMF"," DMF CMF AMF SS","1","79","68","91","85","77","83","74","78","73","81","78","78","79","73","84","69","72","90","84","83","79","50","81","6","6","6","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",""
"673","HAYASHI","HAYASHI","","Япония","30","188","87","R","R","GK"," GK","1","30","77","81","60","70","86","69","58","54","61","63","62","64","45","82","45","45","55","75","60","72","78","72","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"721","TONY DUNNE","DUNNE","","Ирландия","25","168","66","L","R","LB"," LB","1","71","79","80","85","87","82","87","79","83","79","78","82","80","67","82","67","72","78","83","80","90","50","85","7","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"723","S. PORRINI","PORRINI","","Италия","25","181","76","R","R","RB"," CB RB RMF","1","65","78","80","86","80","82","80","73","75","74","73","79","79","68","81","70","73","82","85","75","87","50","79","6","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"729","ROBBIE KEANE","R. KEANE","","Ирландия","25","176","72","R","R","CF"," LWF SS CF","1","86","42","78","85","85","86","87","85","85","78","75","77","75","87","82","72","82","75","76","87","87","45","82","7","6","6","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
